Passo,Estado,Taxa,Bytes
1,1,10,6250000
2,1,10,6250000
3,2,50,31250000
4,2,50,31250000
5,2,50,31250000
6,1,10,6250000
7,1,10,6250000
8,2,50,31250000
9,1,10,6250000
10,1,10,6250000
11,1,10,6250000
12,1,10,6250000
13,1,10,6250000
14,2,50,31250000
15,1,10,6250000
16,1,10,6250000
17,1,10,6250000
18,1,10,6250000
19,2,50,31250000
20,1,10,6250000
21,0,0,0
22,0,0,0
23,2,50,31250000
24,2,50,31250000
25,1,10,6250000
26,2,50,31250000
27,2,50,31250000
28,1,10,6250000
29,1,10,6250000
30,1,10,6250000
31,1,10,6250000
32,1,10,6250000
33,2,50,31250000
34,2,50,31250000
35,2,50,31250000
36,2,50,31250000
37,2,50,31250000
38,2,50,31250000
39,2,50,31250000
40,2,50,31250000
41,2,50,31250000
42,2,50,31250000
43,1,10,6250000
44,0,0,0
45,1,10,6250000
46,2,50,31250000
47,2,50,31250000
48,2,50,31250000
49,2,50,31250000
50,2,50,31250000
