Passo,Estado,Taxa Configurada (Mbps),Bytes Transmitidos
1,1,10,5937500
2,1,10,5937500
3,2,50,29687500
4,2,50,29687500
5,2,50,29687500
6,2,50,29687500
7,2,50,29687500
8,2,50,29687500
9,1,10,5937500
10,1,10,5937500
11,2,50,29687500
12,0,0,0
13,1,10,5937500
14,1,10,5937500
15,2,50,29687500
16,2,50,29687500
17,1,10,5937500
18,1,10,5937500
19,1,10,5937500
20,0,0,0
21,1,10,5937500
22,1,10,5937500
23,1,10,5937500
24,2,50,29687500
25,2,50,29687500
26,1,10,5937500
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,10,5937500
33,1,10,5937500
34,0,0,0
35,1,10,5937500
36,1,10,5937500
37,2,50,29687500
38,0,0,0
39,1,10,5937500
40,1,10,5937500
41,0,0,0
42,2,50,29687500
43,2,50,29687500
44,1,10,5937500
45,1,10,5937500
46,1,10,5937500
47,1,10,5937500
48,1,10,5937500
49,1,10,5937500
50,1,10,5937500
